Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,Temperature,Weather
3MB-NB,01/06/2019 00:00,2019,6,1,0,0,4,0,97.67,130.15,0,2,10,0,0,0,0,86.72,146.58,0,26,few clouds
3MB-NB,01/06/2019 01:00,2019,6,1,1,0,44,0.2,94.7,135.13,0,2,15,0,0,0,0,90.64,140.36,0,26,thunderstorm
3MB-NB,01/06/2019 02:00,2019,6,1,2,0,34,3.37,91.31,139.53,0,2,19,0,0,0,0,97.07,130.99,0,26,thunderstorm
3MB-NB,01/06/2019 03:00,2019,6,1,3,0,26,0.1,98.88,128.64,0,2,8,0,0,0,0,98.15,129.52,0,25,thunderstorm
3MB-NB,01/06/2019 04:00,2019,6,1,4,0,22,0.03,97.88,130.05,0,2,10,0,0,0,0,98.19,129.46,0,25,thunderstorm
3MB-NB,01/06/2019 05:00,2019,6,1,5,0,31,11.02,85.37,149.47,0,2,29,0,0,0,0,95.98,132.53,0,25,thunderstorm
3MB-NB,01/06/2019 06:00,2019,6,1,6,0,110,0.55,75.09,169.87,0,2,49,0,0,0,0,86.49,147.07,0,25,thunderstorm
3MB-NB,01/06/2019 07:00,2019,6,1,7,0,167,2.51,72.17,176.69,0,2,56,0,0,0,0,82.35,154.39,0,24,thunderstorm with rain
3MB-NB,01/06/2019 08:00,2019,6,1,8,0,170,0.39,76.82,165.94,0,2,45,0,0,0,0,84.98,149.61,0,23,thunderstorm with light rain
3MB-NB,01/06/2019 09:00,2019,6,1,9,0,222,0.93,66.59,192.53,0,3,12,0,0,0,0,83.23,152.74,0,24,thunderstorm with light rain
3MB-NB,01/06/2019 10:00,2019,6,1,10,0,178,0.97,78.29,162.94,0,2,42,0,0,0,0,82.96,153.24,0,25,thunderstorm with light rain
3MB-NB,01/06/2019 11:00,2019,6,1,11,0,209,0.25,79.73,160.3,0,2,40,0,0,0,0,83.29,152.61,0,25,light rain
3MB-NB,01/06/2019 12:00,2019,6,1,12,0,209,2.52,82.46,154.65,0,2,34,0,0,0,0,81.72,155.64,0,28,light rain
3MB-NB,01/06/2019 13:00,2019,6,1,13,0,218,0.23,82.16,155.11,0,2,35,0,0,0,0,77.43,164.21,0,27,few clouds
3MB-NB,01/06/2019 14:00,2019,6,1,14,0,241,0.25,79.48,160.79,0,2,40,0,0,0,0,76.85,165.44,0,29,scattered clouds
3MB-NB,01/06/2019 15:00,2019,6,1,15,0,252,0.72,79.37,160.48,0,2,40,0,0,0,0,74.48,170.72,0,30,scattered clouds
3MB-NB,01/06/2019 16:00,2019,6,1,16,0,261,0.3,75.96,167.76,0,2,47,0,0,0,0,70.93,179.23,0,29,scattered clouds
3MB-NB,01/06/2019 17:00,2019,6,1,17,0,218,0.16,73.41,173.91,0,2,53,0,0,0,0,70.97,179.13,0,29,broken clouds
3MB-NB,01/06/2019 18:00,2019,6,1,18,0,334,0.44,72.32,176.48,0,2,56,0,0,0,0,72.05,176.46,0,29,broken clouds
3MB-NB,01/06/2019 19:00,2019,6,1,19,0,251,0.75,71.64,178.69,0,2,58,0,0,0,0,69.27,183.64,0,28,scattered clouds
3MB-NB,01/06/2019 20:00,2019,6,1,20,0,248,0.65,69.15,184.6,0,3,4,0,0,0,0,63.34,200.73,0,28,few clouds
3MB-NB,01/06/2019 21:00,2019,6,1,21,0,235,0.79,63.9,213.48,0,3,33,0,0,0,0,66.39,191.58,0,27,few clouds
3MB-NB,01/06/2019 22:00,2019,6,1,22,0,168,1.05,73.83,173.9,0,2,53,0,0,0,0,71.72,177.5,0,26,few clouds
3MB-NB,01/06/2019 23:00,2019,6,1,23,0,158,0.57,78.12,163.31,0,2,43,0,0,0,0,77.95,163.26,0,26,few clouds
3MB-NB,02/06/2019 00:00,2019,6,2,0,0,115,3.8,90.81,140.21,0,2,20,0,0,0,0,86.2,147.55,0,26,few clouds
3MB-NB,02/06/2019 01:00,2019,6,2,1,0,43,0.73,98.8,128.77,0,2,8,0,0,0,0,93.15,136.51,0,26,few clouds
3MB-NB,02/06/2019 02:00,2019,6,2,2,0,25,0.37,93.55,135.98,0,2,15,0,0,0,0,95.45,133.18,0,26,few clouds
3MB-NB,02/06/2019 03:00,2019,6,2,3,0,29,0.33,104.09,122.26,0,2,2,0,0,0,0,96.48,131.76,0,25,few clouds
3MB-NB,02/06/2019 04:00,2019,6,2,4,0,15,0.22,108.71,117.29,0,1,57,0,0,0,0,96.96,131.1,0,25,few clouds
3MB-NB,02/06/2019 05:00,2019,6,2,5,0,30,0,99.96,127.22,0,2,7,0,0,0,0,95.33,133.36,0,25,few clouds
3MB-NB,02/06/2019 06:00,2019,6,2,6,0,77,1.48,94.62,134.42,0,2,14,0,0,0,0,89.22,142.54,0,25,few clouds
3MB-NB,02/06/2019 07:00,2019,6,2,7,0,113,1.12,87.87,146.06,0,2,26,0,0,0,0,86.81,146.49,0,25,few clouds
3MB-NB,02/06/2019 08:00,2019,6,2,8,0,148,0.51,89.53,144.88,0,2,24,0,0,0,0,89.34,142.29,0,25,scattered clouds
3MB-NB,02/06/2019 09:00,2019,6,2,9,0,130,0.83,89.58,142.58,0,2,22,0,0,0,0,88.62,143.46,0,26,scattered clouds
3MB-NB,02/06/2019 10:00,2019,6,2,10,0,163,0.77,90.89,140.29,0,2,20,0,0,0,0,88.29,143.97,0,29,scattered clouds
3MB-NB,02/06/2019 11:00,2019,6,2,11,0,168,0.38,93.48,136.4,0,2,16,0,0,0,0,90.43,140.6,0,29,broken clouds
3MB-NB,02/06/2019 12:00,2019,6,2,12,0,161,2.57,90.38,141.18,0,2,21,0,0,0,0,91.85,138.4,0,29,broken clouds
3MB-NB,02/06/2019 13:00,2019,6,2,13,0,177,2.2,93.76,135.94,0,2,15,0,0,0,0,88.2,144.17,0,31,broken clouds
3MB-NB,02/06/2019 14:00,2019,6,2,14,0,174,0.66,93.31,136.33,0,2,16,0,0,0,0,87.58,145.17,0,31,broken clouds
3MB-NB,02/06/2019 15:00,2019,6,2,15,0,184,1.23,88.63,144.15,0,2,24,0,0,0,0,83.78,151.86,0,32,broken clouds
3MB-NB,02/06/2019 16:00,2019,6,2,16,0,195,0.77,87.65,145.38,0,2,25,0,0,0,0,86.63,146.81,0,32,broken clouds
3MB-NB,02/06/2019 17:00,2019,6,2,17,0,200,1.43,81.54,156.89,0,2,36,0,0,0,0,87.3,145.61,0,31,broken clouds
3MB-NB,02/06/2019 18:00,2019,6,2,18,0,174,0.35,84.69,151,0,2,31,0,0,0,0,86.1,147.65,0,29,scattered clouds
3MB-NB,02/06/2019 19:00,2019,6,2,19,0,192,0.53,81.57,156.76,0,2,36,0,0,0,0,83.55,152.24,0,29,scattered clouds
3MB-NB,02/06/2019 20:00,2019,6,2,20,0,163,1.34,80.37,159.58,0,2,39,0,0,0,0,77.67,163.69,0,28,scattered clouds
3MB-NB,02/06/2019 21:00,2019,6,2,21,0,156,0.52,81.17,158.04,0,2,38,0,0,0,0,79.01,160.91,0,28,scattered clouds
3MB-NB,02/06/2019 22:00,2019,6,2,22,0,152,1.08,83.31,153.29,0,2,33,0,0,0,0,81.85,155.37,0,27,few clouds
3MB-NB,02/06/2019 23:00,2019,6,2,23,0,84,8.81,83.28,153.13,0,2,33,0,0,0,0,84.77,149.97,0,27,few clouds
3MB-NB,03/06/2019 00:00,2019,6,3,0,0,47,1.38,91.25,139.38,0,2,19,0,0,0,0,91.59,138.93,0,27,few clouds
3MB-NB,03/06/2019 01:00,2019,6,3,1,0,23,0.58,99.23,128.16,0,2,8,0,0,0,0,97.11,130.9,0,27,few clouds
3MB-NB,03/06/2019 02:00,2019,6,3,2,0,17,1.15,102.12,124.9,0,2,4,0,0,0,0,98.02,129.69,0,26,few clouds
3MB-NB,03/06/2019 06:00,2019,6,3,6,0,304,2.69,87.91,144.99,0,2,24,0,0,0,0,90.54,140.58,0,26,overcast clouds
3MB-NB,03/06/2019 07:00,2019,6,3,7,0,300,4.09,89.55,142.3,0,2,22,0,0,0,0,84.09,151.25,0,26,overcast clouds
3MB-NB,03/06/2019 08:00,2019,6,3,8,0,212,2.6,92.41,138.32,0,2,18,0,0,0,0,87.96,144.52,0,26,overcast clouds
3MB-NB,03/06/2019 09:00,2019,6,3,9,0,209,0.96,89.85,142.86,0,2,22,0,0,0,0,86.82,146.43,0,31,overcast clouds
3MB-NB,03/06/2019 10:00,2019,6,3,10,0,209,0.6,82.29,155.35,0,2,35,0,0,0,0,83.36,152.5,0,31,overcast clouds
3MB-NB,03/06/2019 11:00,2019,6,3,11,0,260,0.48,85.7,148.82,0,2,28,0,0,0,0,80.47,157.97,0,31,overcast clouds
3MB-NB,03/06/2019 12:00,2019,6,3,12,0,282,0.43,86.19,147.87,0,2,27,0,0,0,0,80.33,158.24,0,33,overcast clouds
3MB-NB,03/06/2019 13:00,2019,6,3,13,0,236,0.63,86.35,148.04,0,2,28,0,0,0,0,79.73,159.45,0,32,scattered clouds
3MB-NB,03/06/2019 14:00,2019,6,3,14,0,292,0.43,79.15,161.9,0,2,41,0,0,0,0,80.63,157.66,0,32,scattered clouds
3MB-NB,03/06/2019 15:00,2019,6,3,15,0,286,0.47,81.3,156.64,0,2,36,0,0,0,0,79.08,160.75,0,32,scattered clouds
3MB-NB,03/06/2019 16:00,2019,6,3,16,0,336,0.52,76.11,168.72,0,2,48,0,0,0,0,74.61,170.58,0,31,few clouds
3MB-NB,03/06/2019 17:00,2019,6,3,17,0,344,1.94,69.51,185.09,0,3,5,0,0,0,0,60.65,211.05,0,31,few clouds
3MB-NB,03/06/2019 18:00,2019,6,3,18,0,363,0.68,42.05,321.08,0,5,21,3.29,0,0,3,45.16,285.48,0,31,few clouds
3MB-NB,03/06/2019 19:00,2019,6,3,19,0,388,1.36,48.51,320.33,0,5,20,2.54,0,0,2,26.79,479.14,161.35,30,few clouds
3MB-NB,03/06/2019 20:00,2019,6,3,20,0,315,0.82,54.95,236.47,0,3,56,0,0,0,0,20.53,620.57,302.78,27,few clouds
3MB-NB,03/06/2019 21:00,2019,6,3,21,0,312,1.42,25.67,607.98,0,10,7,290.19,0,4,50,22.71,568.16,250.37,27,few clouds
3MB-NB,03/06/2019 22:00,2019,6,3,22,0,255,1,11.68,1123.63,0,18,43,805.84,0,13,25,45.42,289.75,0,27,few clouds
3MB-NB,03/06/2019 23:00,2019,6,3,23,0,199,0.43,9.01,1416.69,0,23,36,1098.9,0,18,18,71.03,180.05,0,27,few clouds
3MB-NB,04/06/2019 00:00,2019,6,4,0,0,186,0.72,31.22,932.27,0,15,32,614.48,0,10,14,85.6,149.03,0,27,few clouds
3MB-NB,04/06/2019 01:00,2019,6,4,1,0,47,2.54,80.65,157.95,0,2,37,0,0,0,0,94.66,134.3,0,27,few clouds
3MB-NB,04/06/2019 02:00,2019,6,4,2,0,6,0.42,92.19,138.2,0,2,18,0,0,0,0,93.87,135.43,0,27,few clouds
3MB-NB,04/06/2019 05:00,2019,6,4,5,0,30,2.74,88.83,143.23,0,2,23,0,0,0,0,91.58,138.82,0,26,few clouds
3MB-NB,04/06/2019 06:00,2019,6,4,6,0,76,3.91,76.33,168.5,0,2,48,0,0,0,0,91.07,139.75,0,26,few clouds
3MB-NB,04/06/2019 07:00,2019,6,4,7,0,136,1.32,72.14,177.26,0,2,57,0,0,0,0,82.68,153.79,0,26,few clouds
3MB-NB,04/06/2019 08:00,2019,6,4,8,0,159,1.86,75.8,168.97,0,2,48,0,0,0,0,85.95,147.92,0,26,scattered clouds
3MB-NB,04/06/2019 09:00,2019,6,4,9,0,142,2,75.92,171.32,0,2,51,0,0,0,0,84.85,149.85,0,,
3MB-NB,04/06/2019 10:00,2019,6,4,10,0,178,0.96,87.09,146.26,0,2,26,0,0,0,0,83.35,152.52,0,,
3MB-NB,04/06/2019 11:00,2019,6,4,11,0,180,0.32,85.94,148.5,0,2,28,0,0,0,0,82.11,154.83,0,27,thunderstorm
3MB-NB,04/06/2019 12:00,2019,6,4,12,0,201,0.34,87.6,145.41,0,2,25,0,0,0,0,83.68,151.91,0,28,thunderstorm
3MB-NB,04/06/2019 13:00,2019,6,4,13,0,174,0.43,81.08,157.02,0,2,37,0,0,0,0,81.83,155.35,0,29,thunderstorm
3MB-NB,04/06/2019 14:00,2019,6,4,14,0,166,3.64,85.19,149.69,0,2,29,0,0,0,0,80.49,157.95,0,29,broken clouds
3MB-NB,04/06/2019 15:00,2019,6,4,15,0,232,0.66,86.35,147.49,0,2,27,0,0,0,0,77.11,164.92,0,30,broken clouds
3MB-NB,04/06/2019 16:00,2019,6,4,16,0,237,0.31,84.24,151.55,0,2,31,0,0,0,0,66.36,192.37,0,31,broken clouds
3MB-NB,04/06/2019 17:00,2019,6,4,17,0,208,0.81,80.61,158.1,0,2,38,0,0,0,0,54.6,234.46,0,30,broken clouds
3MB-NB,04/06/2019 18:00,2019,6,4,18,0,239,0.64,81.96,155.42,0,2,35,0,0,0,0,38.96,333.92,16.13,30,scattered clouds
3MB-NB,04/06/2019 19:00,2019,6,4,19,0,194,1.14,83.36,153.11,0,2,33,0,0,0,0,23.77,542.37,224.58,29,scattered clouds
3MB-NB,04/06/2019 20:00,2019,6,4,20,0,175,0.95,73.35,175.03,0,2,55,0,0,0,0,21.53,591.24,273.45,28,scattered clouds
3MB-NB,04/06/2019 21:00,2019,6,4,21,0,138,0.82,73.82,172.58,0,2,52,0,0,0,0,21.81,584.94,267.15,27,few clouds
