Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,,
3MB_ SB,01-12-19 0:00,2019,12,1,0,0,12,0.55,97.92,130.4,0,2,10,0,0,0,0,88.85,143.72,0,28,few clouds
3MB_ SB,01-12-19 1:00,2019,12,1,1,0,263,0.61,94.52,135.4,0,2,15,0,0,0,0,89.77,142.25,0,27,few clouds
3MB_ SB,01-12-19 2:00,2019,12,1,2,0,137,0.42,94.25,135.58,0,2,15,0,0,0,0,92.27,138.4,0,27,few clouds
3MB_ SB,01-12-19 3:00,2019,12,1,3,0,93,0.66,92.91,137.6,0,2,17,0,0,0,0,89.3,143.02,0,27,few clouds
3MB_ SB,01-12-19 4:00,2019,12,1,4,0,101,0.47,92.85,137.79,0,2,17,0,0,0,0,90.53,141.06,0,27,few clouds
3MB_ SB,01-12-19 5:00,2019,12,1,5,0,142,1.16,91.61,139.72,0,2,19,0,0,0,0,85.76,149.18,0,26,few clouds
3MB_ SB,01-12-19 6:00,2019,12,1,6,0,205,0.65,84.72,151.28,0,2,31,0,0,0,0,78.8,162.19,0,26,few clouds
3MB_ SB,01-12-19 7:00,2019,12,1,7,0,386,0.57,86.09,150.55,0,2,30,0,0,0,0,77.58,164.86,0,26,few clouds
3MB_ SB,01-12-19 8:00,2019,12,1,8,0,521,0.66,88.44,144.98,0,2,24,0,0,0,0,81.99,155.81,0,25,few clouds
3MB_ SB,01-12-19 9:00,2019,12,1,9,0,674,0.61,91.32,140.46,0,2,20,0,0,0,0,82.56,154.69,0,26,haze
3MB_ SB,01-12-19 10:00,2019,12,1,10,0,720,0.65,83.11,154.46,0,2,34,0,0,0,0,82.54,154.7,0,28,broken clouds
3MB_ SB,01-12-19 11:00,2019,12,1,11,0,734,0.53,90.58,141.66,0,2,21,0,0,0,0,86.53,147.58,0,29,broken clouds
3MB_ SB,01-12-19 12:00,2019,12,1,12,0,775,0.51,92.09,138.91,0,2,18,0,0,0,0,86.21,148.13,0,30,broken clouds
3MB_ SB,01-12-19 13:00,2019,12,1,13,0,814,0.5,86.82,147.56,0,2,27,0,0,0,0,84.33,151.48,0,31,broken clouds
3MB_ SB,01-12-19 14:00,2019,12,1,14,0,923,0.57,87.9,145.46,0,2,25,0,0,0,0,84.3,151.51,0,32,broken clouds
3MB_ SB,01-12-19 15:00,2019,12,1,15,0,923,0.58,88.4,144.62,0,2,24,0,0,0,0,82.36,155.05,0,32,broken clouds
3MB_ SB,01-12-19 16:00,2019,12,1,16,0,1921,0.02,83.32,153.63,0,2,33,0,0,0,0,84.57,151,0,34,broken clouds
3MB_ SB,01-12-19 17:00,2019,12,1,17,0,1726,0,83.75,152.68,0,2,32,0,0,0,0,85.2,149.88,0,32,scattered clouds
3MB_ SB,01-12-19 18:00,2019,12,1,18,0,1893,0,82.8,154.6,0,2,34,0,0,0,0,82.82,154.26,0,31,scattered clouds
3MB_ SB,01-12-19 19:00,2019,12,1,19,0,1679,0,77.33,166.2,0,2,46,0,0,0,0,82.94,154.02,0,30,few clouds
3MB_ SB,01-12-19 20:00,2019,12,1,20,0,1699,0,76.77,166.78,0,2,46,0,0,0,0,77.15,165.53,0,29,few clouds
3MB_ SB,01-12-19 21:00,2019,12,1,21,0,1442,0,88.34,144.83,0,2,24,0,0,0,0,79.53,160.57,0,28,few clouds
3MB_ SB,01-12-19 22:00,2019,12,1,22,0,1062,0.12,86.88,147.17,0,2,27,0,0,0,0,82.06,155.63,0,28,few clouds
