Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,Congestion Alarm,Temperature,Weather
3MB-SB,01-06-19 0:00,2019,6,1,0,0,10,0,79.77,160.08,0,2,40,0,0,0,0,86.58,147.48,0,,26,few clouds
3MB-SB,01-06-19 1:00,2019,6,1,1,0,143,0.65,76.64,166.93,0,2,46,0,0,0,0,89.38,142.91,0,,26,thunderstorm
3MB-SB,01-06-19 6:00,2019,6,1,6,0,210,0.58,69.95,183.68,0,3,3,0,0,0,0,77.41,165.61,0,,25,thunderstorm
3MB-SB,01-06-19 7:00,2019,6,1,7,0,344,0.9,69.1,185.23,0,3,5,0,0,0,0,73.91,172.86,0,,24,thunderstorm with rain
3MB-SB,01-06-19 8:00,2019,6,1,8,0,536,0.63,68.83,185.79,0,3,5,0,0,0,0,77.08,165.74,0,,23,thunderstorm with light rain
3MB-SB,01-06-19 9:00,2019,6,1,9,0,647,0.88,69.81,183.16,0,3,3,0,0,0,0,73.83,172.98,0,,24,thunderstorm with light rain
3MB-SB,01-06-19 10:00,2019,6,1,10,0,674,0.54,67.76,188.86,0,3,8,0,0,0,0,72.72,175.64,0,,25,thunderstorm with light rain
3MB-SB,01-06-19 11:00,2019,6,1,11,0,650,0.68,76.5,167.28,0,2,47,0,0,0,0,75.65,168.81,0,,25,light rain
3MB-SB,01-06-19 12:00,2019,6,1,12,0,691,0.6,79.64,160.51,0,2,40,0,0,0,0,75.14,169.95,0,,28,light rain
3MB-SB,01-06-19 13:00,2019,6,1,13,0,724,0.69,77.92,164.66,0,2,44,0,0,0,0,76.43,167.07,0,,27,few clouds
3MB-SB,01-06-19 14:00,2019,6,1,14,0,729,0.63,79.58,160.59,0,2,40,0,0,0,0,77.67,164.44,0,,29,scattered clouds
3MB-SB,01-06-19 15:00,2019,6,1,15,0,760,0.82,82.02,156.03,0,2,36,0,0,0,0,80.34,158.95,0,,30,scattered clouds
3MB-SB,01-06-19 16:00,2019,6,1,16,0,724,0.57,86.92,147.09,0,2,27,0,0,0,0,80.47,158.69,0,,29,scattered clouds
3MB-SB,01-06-19 17:00,2019,6,1,17,0,748,0.47,82.7,154.56,0,2,34,0,0,0,0,81.31,157.05,0,,29,broken clouds
3MB-SB,01-06-19 18:00,2019,6,1,18,0,835,0.68,88.26,144.76,0,2,24,0,0,0,0,81.54,156.62,0,,29,broken clouds
3MB-SB,01-06-19 19:00,2019,6,1,19,0,709,0.51,89.23,143.57,0,2,23,0,0,0,0,80.93,157.83,0,,28,scattered clouds
3MB-SB,01-06-19 20:00,2019,6,1,20,0,752,0.69,82.19,155.65,0,2,35,0,0,0,0,77.34,165.12,0,,28,few clouds
3MB-SB,01-06-19 21:00,2019,6,1,21,0,620,0.58,82.43,155.77,0,2,35,0,0,0,0,79.62,160.41,0,,27,few clouds
3MB-SB,01-06-19 22:00,2019,6,1,22,0,408,0.71,87.26,146.58,0,2,26,0,0,0,0,81.44,156.79,0,,26,few clouds
3MB-SB,01-06-19 23:00,2019,6,1,23,0,395,0.68,85.26,150.25,0,2,30,0,0,0,0,82.82,154.21,0,,26,few clouds
3MB-SB,02-06-19 0:00,2019,6,2,0,0,253,0.49,89.86,142.25,0,2,22,0,0,0,0,87.09,146.63,0,,26,few clouds
3MB-SB,02-06-19 1:00,2019,6,2,1,0,99,1.03,90.77,141.24,0,2,21,0,0,0,0,89.72,142.32,0,,26,few clouds
3MB-SB,02-06-19 2:00,2019,6,2,2,0,59,1.03,85.96,151.12,0,2,31,0,0,0,0,92.06,138.71,0,,26,few clouds
3MB-SB,02-06-19 6:00,2019,6,2,6,0,124,0.65,85.05,150.84,0,2,30,0,0,0,0,78.69,162.43,0,,25,few clouds
3MB-SB,02-06-19 7:00,2019,6,2,7,0,269,0.47,75.09,178.41,0,2,58,0,0,0,0,77.46,165.08,0,,25,few clouds
3MB-SB,02-06-19 8:00,2019,6,2,8,0,367,0.44,79.48,162.06,0,2,42,0,0,0,0,81.81,156.12,0,,25,scattered clouds
3MB-SB,02-06-19 9:00,2019,6,2,9,0,402,0.48,89.75,143.96,0,2,23,0,0,0,0,82.25,155.29,0,,26,scattered clouds
3MB-SB,02-06-19 10:00,2019,6,2,10,0,404,0.52,91.16,140.46,0,2,20,0,0,0,0,82.26,155.25,0,,29,scattered clouds
3MB-SB,02-06-19 11:00,2019,6,2,11,0,451,0.52,90.47,141.54,0,2,21,0,0,0,0,85.62,149.15,0,,29,broken clouds
3MB-SB,02-06-19 12:00,2019,6,2,12,0,404,0.64,86.97,147.11,0,2,27,0,0,0,0,85.86,148.75,0,,29,broken clouds
3MB-SB,02-06-19 13:00,2019,6,2,13,0,480,0.43,89.67,142.75,0,2,22,0,0,0,0,84,152.07,0,,31,broken clouds
3MB-SB,02-06-19 14:00,2019,6,2,14,0,493,0.4,88.33,145.05,0,2,25,0,0,0,0,84.16,151.76,0,,31,broken clouds
3MB-SB,02-06-19 15:00,2019,6,2,15,0,551,0.45,87,146.8,0,2,26,0,0,0,0,82.35,155.07,0,,32,broken clouds
3MB-SB,02-06-19 16:00,2019,6,2,16,0,592,0.48,84.89,150.91,0,2,30,0,0,0,0,84.55,151.03,0,,32,broken clouds
3MB-SB,02-06-19 17:00,2019,6,2,17,0,566,0.62,90.5,141.35,0,2,21,0,0,0,0,85.28,149.74,0,,31,broken clouds
3MB-SB,02-06-19 18:00,2019,6,2,18,0,556,0.54,87.99,145.38,0,2,25,0,0,0,0,82.91,154.09,0,,29,scattered clouds
