Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2019-02-01,06:14:46,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,60,60,,,,,0,21.00,21.00,40.00,0
2019-02-01,06:29:48,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,80,80,,,,,0,22.47,22.00,38.07,15
2019-02-01,06:44:48,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,110,110,,,,,0,22.47,22.00,38.07,15
2019-02-01,06:59:51,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,125,125,,,,,0,25.40,22.00,33.53,15
2019-02-01,07:44:56,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,205,205,,,,,0,25.00,23.67,34.00,11
2019-02-01,07:59:55,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,230,230,,,,,0,26.00,24.00,32.00,15
2019-02-01,08:14:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,240,240,,,,,0,20.23,24.00,41.92,13
2019-02-01,08:29:55,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,240,240,,,,,0,20.13,24.33,41.80,15
2019-02-01,08:44:57,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,235,235,,,,,0,21.87,23.00,39.07,15
2019-02-01,08:59:55,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,225,225,,,,,0,21.80,23.33,39.20,15
2019-02-01,09:14:54,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,230,230,,,,,0,21.93,24.00,38.53,15
2019-02-01,09:29:56,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,245,245,,,,,0,21.64,23.00,39.07,14
2019-02-01,09:44:54,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,270,270,,,,,0,24.20,23.00,35.07,15
2019-02-01,09:59:51,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,285,285,,,,,0,23.47,22.67,36.27,15
2019-02-01,10:14:53,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,300,300,,,,,0,22.53,23.33,37.87,15
2019-02-01,10:29:53,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,300,300,,,,,0,21.46,23.00,40.00,13
2019-02-01,10:44:54,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,305,305,,,,,0,22.13,24.33,38.53,15
2019-02-01,10:59:54,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,315,315,,,,,0,24.83,24.33,34.25,12
2019-02-01,11:14:52,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,315,315,,,,,0,24.00,24.00,35.00,13
2019-02-01,11:29:55,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,315,315,,,,,0,23.33,24.00,36.33,12
2019-02-01,11:44:52,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,315,315,,,,,0,23.27,23.00,36.53,15
2019-02-01,11:59:55,4,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,315,315,,,,,0,20.33,23.67,42.33,12
