Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,Temperature,Weather,Level of Service,Length of Detection,Number of Lanes,Day of Week,Time of Day
IKRD_Northbound,01/06/2019 00:00,2019,6,1,0,0,3,15.33,55.16,147.17,0,2,27,0,0,0,0,33.4,243.03,40.08,26,few clouds,F,2.254778333,4,7,Late Night
IKRD_Northbound,01/06/2019 01:00,2019,6,1,1,0,66,3.95,54.61,150.67,0,2,30,0,0,0,0,36.56,222.56,19.61,26,thunderstorm,F,2.260220444,4,7,Late Night
IKRD_Northbound,01/06/2019 02:00,2019,6,1,2,0,29,10.77,38.93,210,0,3,30,7.05,0,0,7,39.36,206.33,3.38,26,thunderstorm,F,2.255874667,4,7,Late Night
IKRD_Northbound,01/06/2019 06:00,2019,6,1,6,0,77,7,41.03,198.21,0,3,18,0,0,0,0,46.1,176.26,0,25,thunderstorm,F,2.257107222,4,7,Early Morning
IKRD_Northbound,01/06/2019 07:00,2019,6,1,7,0,114,1.11,44.85,182.35,0,3,2,0,0,0,0,42.59,190.69,0,24,thunderstorm with rain,F,2.255968639,4,7,Early Morning
IKRD_Northbound,01/06/2019 08:00,2019,6,1,8,0,139,2.47,49.76,163.78,0,2,43,0,0,0,0,46.89,173.16,0,23,thunderstorm with light rain,F,2.255409,4,7,Early Morning
IKRD_Northbound,01/06/2019 09:00,2019,6,1,9,0,140,1.75,48.44,167.86,0,2,47,0,0,0,0,46.26,175.54,0,24,thunderstorm with light rain,F,2.255689,4,7,Late Morning
IKRD_Northbound,01/06/2019 10:00,2019,6,1,10,0,164,3.04,45.71,177.92,0,2,57,0,0,0,0,43.28,187.61,0,25,thunderstorm with light rain,F,2.255489111,4,7,Late Morning
IKRD_Northbound,01/06/2019 11:00,2019,6,1,11,0,156,1,48.8,168.09,0,2,48,0,0,0,0,41.85,194.12,0,25,light rain,F,2.256645,4,7,Late Morning
IKRD_Northbound,01/06/2019 12:00,2019,6,1,12,0,177,6.21,44.3,183.73,0,3,3,0,0,0,0,36.64,222.17,19.22,28,light rain,F,2.261196889,4,7,Early Afternoon
IKRD_Northbound,01/06/2019 13:00,2019,6,1,13,0,153,1.21,45.33,185.03,0,3,5,0,0,0,0,33.44,242.82,39.87,27,few clouds,F,2.255528,4,7,Early Afternoon
IKRD_Northbound,01/06/2019 14:00,2019,6,1,14,0,170,0.83,41.63,200.46,0,3,20,0,0,0,0,29.81,272.43,69.48,29,scattered clouds,F,2.25587175,4,7,Early Afternoon
IKRD_Northbound,01/06/2019 15:00,2019,6,1,15,0,161,1.17,44.6,187.89,0,3,7,0,0,0,0,27.37,297.79,94.84,30,scattered clouds,F,2.264031194,4,7,Late Afternoon
IKRD_Northbound,01/06/2019 16:00,2019,6,1,16,0,195,2.14,49.45,165.2,0,2,45,0,0,0,0,26.33,308.71,105.76,29,scattered clouds,F,2.257870639,4,7,Late Afternoon
IKRD_Northbound,01/06/2019 17:00,2019,6,1,17,0,169,2.01,48.51,168.5,0,2,48,0,0,0,0,27.64,293.85,90.9,29,broken clouds,F,2.256115,4,7,Late Afternoon
IKRD_Northbound,01/06/2019 18:00,2019,6,1,18,0,246,2.54,44.21,185.69,0,3,5,0,0,0,0,27.64,294.11,91.16,29,broken clouds,F,2.258111222,4,7,Evening
IKRD_Northbound,01/06/2019 19:00,2019,6,1,19,0,183,1.24,44.88,182.59,0,3,2,0,0,0,0,30.94,262.66,59.71,28,scattered clouds,F,2.257416778,4,7,Evening
IKRD_Northbound,01/06/2019 20:00,2019,6,1,20,0,128,5.98,17.72,593.12,0,9,53,390.17,0,6,30,29.52,275.2,72.25,28,few clouds,F,2.25664,4,7,Evening
IKRD_Northbound,01/06/2019 22:00,2019,6,1,22,0,155,3,10.31,857.18,0,14,17,654.23,0,10,54,37.82,214.75,11.8,26,few clouds,F,2.256068056,4,7,Late Evening
IKRD_Northbound,01/06/2019 23:00,2019,6,1,23,0,119,3.73,27.62,298.31,0,4,58,95.36,0,1,35,38.38,211.57,8.62,26,few clouds,F,2.255571278,4,7,Late Evening
IKRD_Northbound,02/06/2019 00:00,2019,6,2,0,0,85,1.44,52.3,159.62,0,2,39,0,0,0,0,39.39,206.11,3.16,26,few clouds,F,2.255186917,4,1,Late Night
IKRD_Northbound,02/06/2019 01:00,2019,6,2,1,0,35,2.51,48.69,167.31,0,2,47,0,0,0,0,42.61,191.12,0,26,few clouds,F,2.262117556,4,1,Late Night
IKRD_Northbound,02/06/2019 02:00,2019,6,2,2,0,42,14.94,48.24,168.58,0,2,48,0,0,0,0,43.41,187.03,0,26,few clouds,F,2.255270083,4,1,Late Night
IKRD_Northbound,02/06/2019 05:00,2019,6,2,5,0,47,1010.58,59.62,137.5,0,2,17,0,0,0,0,53.43,152.07,0,25,few clouds,F,2.25697225,4,1,Early Morning
IKRD_Northbound,02/06/2019 06:00,2019,6,2,6,0,64,2.78,54.73,148.43,0,2,28,0,0,0,0,52.49,154.8,0,25,few clouds,F,2.25707,4,1,Early Morning
IKRD_Northbound,02/06/2019 07:00,2019,6,2,7,0,123,0.98,55.04,148.28,0,2,28,0,0,0,0,48.59,167.16,0,25,few clouds,F,2.256195667,4,1,Early Morning
IKRD_Northbound,02/06/2019 08:00,2019,6,2,8,0,151,3.79,60.84,133.59,0,2,13,0,0,0,0,50.7,160.14,0,25,scattered clouds,F,2.255305,4,1,Early Morning
IKRD_Northbound,02/06/2019 09:00,2019,6,2,9,0,153,2.34,63.89,127.21,0,2,7,0,0,0,0,49.54,163.88,0,26,scattered clouds,F,2.255170889,4,1,Late Morning
IKRD_Northbound,02/06/2019 10:00,2019,6,2,10,0,171,3.64,61.64,131.88,0,2,11,0,0,0,0,48.98,165.77,0,29,scattered clouds,F,2.255392944,4,1,Late Morning
IKRD_Northbound,02/06/2019 11:00,2019,6,2,11,0,129,0.36,61.3,132.59,0,2,12,0,0,0,0,49.12,165.26,0,29,broken clouds,F,2.254880889,4,1,Late Morning
IKRD_Northbound,02/06/2019 12:00,2019,6,2,12,0,118,3.26,58.02,140.26,0,2,20,0,0,0,0,50.45,160.95,0,29,broken clouds,F,2.255535417,4,1,Early Afternoon
IKRD_Northbound,02/06/2019 13:00,2019,6,2,13,0,142,1.27,57.77,140.67,0,2,20,0,0,0,0,49.14,165.25,0,31,broken clouds,F,2.2556625,4,1,Early Afternoon
IKRD_Northbound,02/06/2019 14:00,2019,6,2,14,0,171,2.59,39.74,207.43,0,3,27,4.48,0,0,4,44.32,183.93,0,31,broken clouds,F,2.264382667,4,1,Early Afternoon
IKRD_Northbound,02/06/2019 15:00,2019,6,2,15,0,158,5,50.26,163.07,0,2,43,0,0,0,0,38,213.76,10.81,32,broken clouds,F,2.256355556,4,1,Late Afternoon
IKRD_Northbound,02/06/2019 16:00,2019,6,2,16,0,173,0.99,57.05,145.66,0,2,25,0,0,0,0,35.4,229.54,26.59,32,broken clouds,F,2.257143333,4,1,Late Afternoon
IKRD_Northbound,02/06/2019 17:00,2019,6,2,17,0,133,4.46,61.73,131.61,0,2,11,0,0,0,0,40.71,199.67,0,31,broken clouds,F,2.257934917,4,1,Late Afternoon
IKRD_Northbound,02/06/2019 18:00,2019,6,2,18,0,180,1.5,53.77,151.39,0,2,31,0,0,0,0,45.59,178.16,0,29,scattered clouds,F,2.256198444,4,1,Evening
IKRD_Northbound,02/06/2019 19:00,2019,6,2,19,0,129,1.7,56.17,144.85,0,2,24,0,0,0,0,44.24,183.68,0,29,scattered clouds,F,2.257223111,4,1,Evening
IKRD_Northbound,02/06/2019 20:00,2019,6,2,20,0,179,3.85,50.6,161,0,2,41,0,0,0,0,38.98,208.51,5.56,28,scattered clouds,F,2.257699944,4,1,Evening
IKRD_Northbound,02/06/2019 21:00,2019,6,2,21,0,130,0.58,51.06,159.56,0,2,39,0,0,0,0,39.99,203.1,0.15,28,scattered clouds,F,2.2561025,4,1,Late Evening
IKRD_Northbound,02/06/2019 22:00,2019,6,2,22,0,124,2.6,53.45,152.03,0,2,32,0,0,0,0,42.66,190.42,0,27,few clouds,F,2.256477,4,1,Late Evening
IKRD_Northbound,02/06/2019 23:00,2019,6,2,23,0,81,4,58.33,139.91,0,2,19,0,0,0,0,45.03,180.28,0,27,few clouds,F,2.255002333,4,1,Late Evening
IKRD_Northbound,03/06/2019 00:00,2019,6,3,0,0,48,1.09,58.59,138.73,0,2,18,0,0,0,0,45.84,177.15,0,27,few clouds,F,2.25571,4,2,Late Night
IKRD_Northbound,03/06/2019 06:00,2019,6,3,6,0,120,3.04,59.05,140.02,0,2,20,0,0,0,0,57.73,140.82,0,26,overcast clouds,F,2.258205167,4,2,Early Morning
IKRD_Northbound,03/06/2019 07:00,2019,6,3,7,0,215,2.52,59.34,137.7,0,2,17,0,0,0,0,50.78,160,0,26,overcast clouds,F,2.256888889,4,2,Early Morning
IKRD_Northbound,03/06/2019 08:00,2019,6,3,8,0,209,2.25,54.52,149.68,0,2,29,0,0,0,0,47.67,170.89,0,26,overcast clouds,F,2.262868417,4,2,Early Morning
IKRD_Northbound,03/06/2019 09:00,2019,6,3,9,0,207,1.93,54.27,149.88,0,2,29,0,0,0,0,43.55,186.46,0,31,overcast clouds,F,2.255648056,4,2,Late Morning
IKRD_Northbound,03/06/2019 10:00,2019,6,3,10,0,205,1.55,41.73,197.04,0,3,17,0,0,0,0,44.79,181.41,0,31,overcast clouds,F,2.25704275,4,2,Late Morning
IKRD_Northbound,03/06/2019 11:00,2019,6,3,11,0,170,2.06,53.43,152.44,0,2,32,0,0,0,0,46.54,174.48,0,31,overcast clouds,F,2.255638667,4,2,Late Morning
IKRD_Northbound,03/06/2019 12:00,2019,6,3,12,0,184,2.35,50.76,160.36,0,2,40,0,0,0,0,41.78,194.57,0,33,overcast clouds,F,2.258092944,4,2,Early Afternoon
IKRD_Northbound,03/06/2019 13:00,2019,6,3,13,0,188,2.38,40.43,203.95,0,3,23,1,0,0,1,39.05,208.35,5.4,32,scattered clouds,F,2.26001875,4,2,Early Afternoon
IKRD_Northbound,03/06/2019 14:00,2019,6,3,14,0,185,2.34,43.2,189.36,0,3,9,0,0,0,0,34.08,238.29,35.34,32,scattered clouds,F,2.255812,4,2,Early Afternoon
IKRD_Northbound,03/06/2019 15:00,2019,6,3,15,0,167,0.7,44.34,184.19,0,3,4,0,0,0,0,30.2,269.19,66.24,32,scattered clouds,F,2.258205,4,2,Late Afternoon
IKRD_Northbound,03/06/2019 16:00,2019,6,3,16,0,227,1.7,44.3,183.39,0,3,3,0,0,0,0,28.69,283.04,80.09,31,few clouds,F,2.255671556,4,2,Late Afternoon
IKRD_Northbound,03/06/2019 17:00,2019,6,3,17,0,242,1.77,41.05,200.44,0,3,20,0,0,0,0,26.05,311.89,108.94,31,few clouds,F,2.256870694,4,2,Late Afternoon
IKRD_Northbound,03/06/2019 18:00,2019,6,3,18,0,228,1.25,42.6,194.59,0,3,14,0,0,0,0,23.53,346.58,143.63,31,few clouds,F,2.265285389,4,2,Evening
IKRD_Northbound,03/06/2019 19:00,2019,6,3,19,0,221,2.91,32.99,253.1,0,4,13,50.15,0,0,50,22.04,368.56,165.61,30,few clouds,F,2.256406222,4,2,Evening
IKRD_Northbound,03/06/2019 20:00,2019,6,3,20,0,192,2.39,32.82,254.33,0,4,14,51.38,0,0,51,22.79,356.26,153.31,27,few clouds,F,2.255323722,4,2,Evening
IKRD_Northbound,03/06/2019 21:00,2019,6,3,21,0,215,4.22,42.31,196.98,0,3,16,0,0,0,0,25.88,314.85,111.9,27,few clouds,F,2.263421667,4,2,Late Evening
