Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,Temperature,Weather
IKRD_SB,01-06-19 6:00,2019,6,1,6,0,119,3.35,39.7,180.58,0,3,0,2.38,0,0,2,42.81,167.01,0,25,thunderstorm
IKRD_SB,01-06-19 8:00,2019,6,1,8,0,313,4.09,44.01,162.76,0,2,42,0,0,0,0,48.69,146.41,0,23,thunderstorm with light rain
IKRD_SB,01-06-19 9:00,2019,6,1,9,0,356,2.68,38.58,185.07,0,3,5,6.87,0,0,6,46.77,152.47,0,24,thunderstorm with light rain
IKRD_SB,01-06-19 10:00,2019,6,1,10,0,427,3.34,36.81,195.3,0,3,15,17.1,0,0,17,44.6,159.89,0,25,thunderstorm with light rain
IKRD_SB,01-06-19 11:00,2019,6,1,11,0,440,2.92,39.12,188.3,0,3,8,10.1,0,0,10,43.37,164.47,0,25,light rain
IKRD_SB,01-06-19 12:00,2019,6,1,12,0,425,2.97,44.59,161.76,0,2,41,0,0,0,0,41.07,173.63,0,28,light rain
IKRD_SB,01-06-19 13:00,2019,6,1,13,0,498,6.82,48.35,148.16,0,2,28,0,0,0,0,40.05,178.1,0,27,few clouds
IKRD_SB,01-06-19 14:00,2019,6,1,14,0,543,6.38,47.64,149.8,0,2,29,0,0,0,0,40.19,177.41,0,29,scattered clouds
IKRD_SB,01-06-19 15:00,2019,6,1,15,0,500,3.61,50.18,142.67,0,2,22,0,0,0,0,40.11,177.75,0,30,scattered clouds
IKRD_SB,01-06-19 16:00,2019,6,1,16,0,451,3.7,53.83,132.45,0,2,12,0,0,0,0,39.85,178.87,0.67,29,scattered clouds
IKRD_SB,01-06-19 17:00,2019,6,1,17,0,443,3.04,48.62,147.37,0,2,27,0,0,0,0,40.92,174.23,0,29,broken clouds
IKRD_SB,01-06-19 18:00,2019,6,1,18,0,524,5.2,43.48,166.36,0,2,46,0,0,0,0,42.97,165.91,0,29,broken clouds
IKRD_SB,01-06-19 19:00,2019,6,1,19,0,458,6.37,40.46,176.41,0,2,56,0,0,0,0,41.28,172.75,0,28,scattered clouds
IKRD_SB,01-06-19 20:00,2019,6,1,20,0,282,10.54,37.11,193.31,0,3,13,15.11,0,0,15,38.91,183.2,5,28,few clouds
IKRD_SB,01-06-19 21:00,2019,6,1,21,0,219,8.16,22.76,322.59,0,5,22,144.39,0,2,24,39.95,178.5,0.3,27,few clouds
