Description,LengthofDetectionkm,NumberofLanes,Date,Year,Month,Day,Hour,Minutes,DayofWeek,DayofWeek_numeric,TimeofDay,TimeofDay_numeric,DetectedDevices,StayTime,Speedkmh,TotalTravelTimeseconds,TravelTimehour,TravelTimeminutes,TravelTimeseconds,DerivedFFStraveltime,DerivedLostTime,DerivedGainedTime,Temperature,Weather,Weather_numeric,LevelofService,LOS_numeric
3MB-NB,3.530949333,4,6/1/2019 0:00:00,2019,6,1,0,0,7,7,Late Night,1,4,0,97.67,130.15,0,2,10,127.11,3.04,0,26,few clouds,2,D,4
3MB-NB,3.533952889,4,6/1/2019 1:00:00,2019,6,1,1,0,7,7,Late Night,1,44,.2,94.7,135.13,0,2,15,127.22,7.91,0,26,thunderstorm,12,D,4
3MB-NB,3.531999806,4,6/1/2019 2:00:00,2019,6,1,2,0,7,7,Late Night,1,34,3.37,91.31,139.53,0,2,19,127.15,12.38,0,26,thunderstorm,12,E,5
3MB-NB,3.531218889,4,6/1/2019 3:00:00,2019,6,1,3,0,7,7,Late Night,1,26,.1,98.88,128.64,0,2,8,127.12,1.52,0,25,thunderstorm,12,D,4
3MB-NB,3.5310215,4,6/1/2019 4:00:00,2019,6,1,4,0,7,7,Early Morning,2,22,.03,97.88,130.05,0,2,10,127.12,2.93,0,25,thunderstorm,12,D,4
3MB-NB,3.533397056,4,6/1/2019 5:00:00,2019,6,1,5,0,7,7,Early Morning,2,31,11.02,85.37,149.47,0,2,29,127.2,22.27,0,25,thunderstorm,12,E,5
3MB-NB,3.53335675,4,6/1/2019 6:00:00,2019,6,1,6,0,7,7,Early Morning,2,110,.55,75.09,169.87,0,2,49,127.2,42.67,0,25,thunderstorm,12,F,6
3MB-NB,3.53167125,4,6/1/2019 7:00:00,2019,6,1,7,0,7,7,Early Morning,2,167,2.51,72.17,176.69,0,2,56,127.14,49.55,0,24,thunderstorm with rain,14,F,6
3MB-NB,3.531627167,4,6/1/2019 8:00:00,2019,6,1,8,0,7,7,Early Morning,2,170,.39,76.82,165.94,0,2,45,127.14,38.8,0,23,thunderstorm with light rain,13,F,6
3MB-NB,3.531263944,4,6/1/2019 9:00:00,2019,6,1,9,0,7,7,Late Morning,3,222,.93,66.59,192.53,0,3,12,127.13,65.4,0,24,thunderstorm with light rain,13,F,6
3MB-NB,3.531330667,4,6/1/2019 10:00:00,2019,6,1,10,0,7,7,Late Morning,3,178,.97,78.29,162.94,0,2,42,127.13,35.81,0,25,thunderstorm with light rain,13,F,6
3MB-NB,3.530801917,4,6/1/2019 11:00:00,2019,6,1,11,0,7,7,Late Morning,3,209,.25,79.73,160.3,0,2,40,127.11,33.19,0,25,light rain,8,F,6
3MB-NB,3.533028,4,6/1/2019 12:00:00,2019,6,1,12,0,7,7,Early Afternoon,4,209,2.52,82.46,154.65,0,2,34,127.19,27.46,0,28,light rain,8,E,5
3MB-NB,3.531883417,4,6/1/2019 13:00:00,2019,6,1,13,0,7,7,Early Afternoon,4,218,.23,82.16,155.11,0,2,35,127.15,27.96,0,27,few clouds,2,E,5
3MB-NB,3.531684444,4,6/1/2019 14:00:00,2019,6,1,14,0,7,7,Early Afternoon,4,241,.25,79.48,160.79,0,2,40,127.14,33.65,0,29,scattered clouds,3,F,6
3MB-NB,3.532007111,4,6/1/2019 15:00:00,2019,6,1,15,0,7,7,Late Afternoon,5,252,.72,79.37,160.48,0,2,40,127.15,33.33,0,30,scattered clouds,3,F,6
3MB-NB,3.531328861,4,6/1/2019 16:00:00,2019,6,1,16,0,7,7,Late Afternoon,5,261,.3,75.96,167.76,0,2,47,127.13,40.63,0,29,scattered clouds,3,F,6
3MB-NB,3.531348917,4,6/1/2019 17:00:00,2019,6,1,17,0,7,7,Late Afternoon,5,218,.16,73.41,173.91,0,2,53,127.13,46.78,0,29,broken clouds,4,F,6
3MB-NB,3.531650833,4,6/1/2019 18:00:00,2019,6,1,18,0,7,7,Evening,6,334,.44,72.32,176.48,0,2,56,127.14,49.34,0,29,broken clouds,4,F,6
3MB-NB,3.533539667,4,6/1/2019 19:00:00,2019,6,1,19,0,7,7,Evening,6,251,.75,71.64,178.69,0,2,58,127.21,51.48,0,28,scattered clouds,3,F,6
3MB-NB,3.531732833,4,6/1/2019 20:00:00,2019,6,1,20,0,7,7,Evening,6,248,.65,69.15,184.6,0,3,4,127.14,57.46,0,28,few clouds,2,F,6
3MB-NB,3.5330545,4,6/1/2019 21:00:00,2019,6,1,21,0,7,7,Late Evening,7,235,.79,63.9,213.48,0,3,33,127.19,86.29,0,27,few clouds,2,F,6
3MB-NB,3.536194444,4,6/1/2019 22:00:00,2019,6,1,22,0,7,7,Late Evening,7,168,1.05,73.83,173.9,0,2,53,127.3,46.6,0,26,few clouds,2,F,6
3MB-NB,3.5350325,4,6/1/2019 23:00:00,2019,6,1,23,0,7,7,Late Evening,7,158,.57,78.12,163.31,0,2,43,127.26,36.05,0,26,few clouds,2,F,6
3MB-NB,3.533002778,4,6/2/2019 0:00:00,2019,6,2,0,0,1,1,Late Night,1,115,3.8,90.81,140.21,0,2,20,127.19,13.02,0,26,few clouds,2,E,5
3MB-NB,3.53219625,4,6/2/2019 1:00:00,2019,6,2,1,0,1,1,Late Night,1,43,.73,98.8,128.77,0,2,8,127.16,1.61,0,26,few clouds,2,D,4
3MB-NB,3.531119722,4,6/2/2019 2:00:00,2019,6,2,2,0,1,1,Late Night,1,25,.37,93.55,135.98,0,2,15,127.12,8.86,0,26,few clouds,2,E,5
3MB-NB,3.531168,4,6/2/2019 3:00:00,2019,6,2,3,0,1,1,Late Night,1,29,.33,104.09,122.26,0,2,2,127.12,0,4.86,25,few clouds,2,A,1
3MB-NB,3.53096,4,6/2/2019 4:00:00,2019,6,2,4,0,1,1,Early Morning,2,15,.22,108.71,117.29,0,1,57,127.11,0,9.82,25,few clouds,2,A,1
3MB-NB,3.531446889,4,6/2/2019 5:00:00,2019,6,2,5,0,1,1,Early Morning,2,30,0,99.96,127.22,0,2,7,127.13,.09,0,25,few clouds,2,D,4
3MB-NB,3.532616333,4,6/2/2019 6:00:00,2019,6,2,6,0,1,1,Early Morning,2,77,1.48,94.62,134.42,0,2,14,127.17,7.25,0,25,few clouds,2,D,4
3MB-NB,3.532443583,4,6/2/2019 7:00:00,2019,6,2,7,0,1,1,Early Morning,2,113,1.12,87.87,146.06,0,2,26,127.17,18.89,0,25,few clouds,2,E,5
3MB-NB,3.5311635,4,6/2/2019 8:00:00,2019,6,2,8,0,1,1,Early Morning,2,148,.51,89.53,144.88,0,2,24,127.12,17.76,0,25,scattered clouds,3,E,5
3MB-NB,3.531507,4,6/2/2019 9:00:00,2019,6,2,9,0,1,1,Late Morning,3,130,.83,89.58,142.58,0,2,22,127.13,15.45,0,26,scattered clouds,3,E,5
3MB-NB,3.53086425,4,6/2/2019 10:00:00,2019,6,2,10,0,1,1,Late Morning,3,163,.77,90.89,140.29,0,2,20,127.11,13.18,0,29,scattered clouds,3,E,5
3MB-NB,3.531793889,4,6/2/2019 11:00:00,2019,6,2,11,0,1,1,Late Morning,3,168,.38,93.48,136.4,0,2,16,127.14,9.26,0,29,broken clouds,4,E,5
3MB-NB,3.531122222,4,6/2/2019 12:00:00,2019,6,2,12,0,1,1,Early Afternoon,4,161,2.57,90.38,141.18,0,2,21,127.12,14.06,0,29,broken clouds,4,E,5
3MB-NB,3.532165,4,6/2/2019 13:00:00,2019,6,2,13,0,1,1,Early Afternoon,4,177,2.2,93.76,135.94,0,2,15,127.16,8.78,0,31,broken clouds,4,E,5
3MB-NB,3.5316635,4,6/2/2019 14:00:00,2019,6,2,14,0,1,1,Early Afternoon,4,174,.66,93.31,136.33,0,2,16,127.14,9.19,0,31,broken clouds,4,E,5
3MB-NB,3.534119667,4,6/2/2019 15:00:00,2019,6,2,15,0,1,1,Late Afternoon,5,184,1.23,88.63,144.15,0,2,24,127.23,16.92,0,32,broken clouds,4,E,5
3MB-NB,3.532819528,4,6/2/2019 16:00:00,2019,6,2,16,0,1,1,Late Afternoon,5,195,.77,87.65,145.38,0,2,25,127.18,18.2,0,32,broken clouds,4,E,5
3MB-NB,3.5310425,4,6/2/2019 17:00:00,2019,6,2,17,0,1,1,Late Afternoon,5,200,1.43,81.54,156.89,0,2,36,127.12,29.77,0,31,broken clouds,4,F,6
3MB-NB,3.531295833,4,6/2/2019 18:00:00,2019,6,2,18,0,1,1,Evening,6,174,.35,84.69,151,0,2,31,127.13,23.87,0,29,scattered clouds,3,E,5
3MB-NB,3.533236667,4,6/2/2019 19:00:00,2019,6,2,19,0,1,1,Evening,6,192,.53,81.57,156.76,0,2,36,127.2,29.56,0,29,scattered clouds,3,F,6
3MB-NB,3.53161175,4,6/2/2019 20:00:00,2019,6,2,20,0,1,1,Evening,6,163,1.34,80.37,159.58,0,2,39,127.14,32.44,0,28,scattered clouds,3,F,6
3MB-NB,3.531527528,4,6/2/2019 21:00:00,2019,6,2,21,0,1,1,Late Evening,7,156,.52,81.17,158.04,0,2,38,127.13,30.91,0,28,scattered clouds,3,F,6
3MB-NB,3.532509583,4,6/2/2019 22:00:00,2019,6,2,22,0,1,1,Late Evening,7,152,1.08,83.31,153.29,0,2,33,127.17,26.12,0,27,few clouds,2,E,5
3MB-NB,3.531376917,4,6/2/2019 23:00:00,2019,6,2,23,0,1,1,Late Evening,7,84,8.81,83.28,153.13,0,2,33,127.13,26,0,27,few clouds,2,E,5
3MB-NB,3.53461075,4,6/3/2019 0:00:00,2019,6,3,0,0,2,2,Late Night,1,47,1.38,91.25,139.38,0,2,19,127.25,12.13,0,27,few clouds,2,E,5
3MB-NB,3.5310275,4,6/3/2019 1:00:00,2019,6,3,1,0,2,2,Late Night,1,23,.58,99.23,128.16,0,2,8,127.12,1.04,0,27,few clouds,2,D,4
3MB-NB,3.5311705,4,6/3/2019 2:00:00,2019,6,3,2,0,2,2,Late Night,1,17,1.15,102.12,124.9,0,2,4,127.12,0,2.22,26,few clouds,2,A,1
3MB-NB,3.535587,4,6/3/2019 6:00:00,2019,6,3,6,0,2,2,Early Morning,2,304,2.69,87.91,144.99,0,2,24,127.28,17.71,0,26,overcast clouds,5,E,5
3MB-NB,3.532947917,4,6/3/2019 7:00:00,2019,6,3,7,0,2,2,Early Morning,2,300,4.09,89.55,142.3,0,2,22,127.19,15.11,0,26,overcast clouds,5,E,5
3MB-NB,3.531105333,4,6/3/2019 8:00:00,2019,6,3,8,0,2,2,Early Morning,2,212,2.6,92.41,138.32,0,2,18,127.12,11.2,0,26,overcast clouds,5,E,5
3MB-NB,3.5314035,4,6/3/2019 9:00:00,2019,6,3,9,0,2,2,Late Morning,3,209,.96,89.85,142.86,0,2,22,127.13,15.73,0,31,overcast clouds,5,E,5
3MB-NB,3.531222222,4,6/3/2019 10:00:00,2019,6,3,10,0,2,2,Late Morning,3,209,.6,82.29,155.35,0,2,35,127.12,28.23,0,31,overcast clouds,5,E,5
3MB-NB,3.531068306,4,6/3/2019 11:00:00,2019,6,3,11,0,2,2,Late Morning,3,260,.48,85.7,148.82,0,2,28,127.12,21.7,0,31,overcast clouds,5,E,5
3MB-NB,3.530949778,4,6/3/2019 12:00:00,2019,6,3,12,0,2,2,Early Afternoon,4,282,.43,86.19,147.87,0,2,27,127.11,20.76,0,33,overcast clouds,5,E,5
3MB-NB,3.531374583,4,6/3/2019 13:00:00,2019,6,3,13,0,2,2,Early Afternoon,4,236,.63,86.35,148.04,0,2,28,127.13,20.91,0,32,scattered clouds,3,E,5
3MB-NB,3.531146056,4,6/3/2019 14:00:00,2019,6,3,14,0,2,2,Early Afternoon,4,292,.43,79.15,161.9,0,2,41,127.12,34.78,0,32,scattered clouds,3,F,6
3MB-NB,3.531141667,4,6/3/2019 15:00:00,2019,6,3,15,0,2,2,Late Afternoon,5,286,.47,81.3,156.64,0,2,36,127.12,29.52,0,32,scattered clouds,3,F,6
