Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,Temperature,Weather,Level of Service,Length of Detection (km),Number of Lanes,Day of Week,Time of Day,Derived typical travel time,Derived lost time,Derived gained time
3MB-NB,01/06/2019 00:00,2019,6,1,0,0,4,0,97.67,130.15,0,2,10,0,0,0,0,86.72,146.58,0,26,few clouds,D,3.530949333,4,7,Late Night,127.11,3.04,0.00
3MB-NB,01/06/2019 01:00,2019,6,1,1,0,44,0.2,94.7,135.13,0,2,15,0,0,0,0,90.64,140.36,0,26,thunderstorm,D,3.533952889,4,7,Late Night,127.22,7.91,0.00
3MB-NB,01/06/2019 02:00,2019,6,1,2,0,34,3.37,91.31,139.53,0,2,19,0,0,0,0,97.07,130.99,0,26,thunderstorm,E,3.531999806,4,7,Late Night,127.15,12.38,0.00
3MB-NB,01/06/2019 03:00,2019,6,1,3,0,26,0.1,98.88,128.64,0,2,8,0,0,0,0,98.15,129.52,0,25,thunderstorm,D,3.531218889,4,7,Late Night,127.12,1.52,0.00
3MB-NB,01/06/2019 04:00,2019,6,1,4,0,22,0.03,97.88,130.05,0,2,10,0,0,0,0,98.19,129.46,0,25,thunderstorm,D,3.5310215,4,7,Early Morning,127.12,2.93,0.00
3MB-NB,01/06/2019 05:00,2019,6,1,5,0,31,11.02,85.37,149.47,0,2,29,0,0,0,0,95.98,132.53,0,25,thunderstorm,E,3.533397056,4,7,Early Morning,127.20,22.27,0.00
3MB-NB,01/06/2019 06:00,2019,6,1,6,0,110,0.55,75.09,169.87,0,2,49,0,0,0,0,86.49,147.07,0,25,thunderstorm,F,3.53335675,4,7,Early Morning,127.20,42.67,0.00
3MB-NB,01/06/2019 07:00,2019,6,1,7,0,167,2.51,72.17,176.69,0,2,56,0,0,0,0,82.35,154.39,0,24,thunderstorm with rain,F,3.53167125,4,7,Early Morning,127.14,49.55,0.00
3MB-NB,01/06/2019 08:00,2019,6,1,8,0,170,0.39,76.82,165.94,0,2,45,0,0,0,0,84.98,149.61,0,23,thunderstorm with light rain,F,3.531627167,4,7,Early Morning,127.14,38.80,0.00
3MB-NB,01/06/2019 09:00,2019,6,1,9,0,222,0.93,66.59,192.53,0,3,12,0,0,0,0,83.23,152.74,0,24,thunderstorm with light rain,F,3.531263944,4,7,Late Morning,127.13,65.40,0.00
3MB-NB,01/06/2019 10:00,2019,6,1,10,0,178,0.97,78.29,162.94,0,2,42,0,0,0,0,82.96,153.24,0,25,thunderstorm with light rain,F,3.531330667,4,7,Late Morning,127.13,35.81,0.00
3MB-NB,01/06/2019 11:00,2019,6,1,11,0,209,0.25,79.73,160.3,0,2,40,0,0,0,0,83.29,152.61,0,25,light rain,F,3.530801917,4,7,Late Morning,127.11,33.19,0.00
3MB-NB,01/06/2019 12:00,2019,6,1,12,0,209,2.52,82.46,154.65,0,2,34,0,0,0,0,81.72,155.64,0,28,light rain,E,3.533028,4,7,Early Afternoon,127.19,27.46,0.00
3MB-NB,01/06/2019 13:00,2019,6,1,13,0,218,0.23,82.16,155.11,0,2,35,0,0,0,0,77.43,164.21,0,27,few clouds,E,3.531883417,4,7,Early Afternoon,127.15,27.96,0.00
