Description,Date,Year,Month,Day,Hour,Minutes,Detected Devices,Stay Time,Speed [km/h],Total Travel Time seconds,Travel Time hour,Travel Time minutes,Travel Time seconds,Total Loss Time seconds,Loss Time hours,Loss Time minutes,Loss Time seconds,Typical speed [km/h],Typical Travel Time,Typical Loss Time,Temperature,Weather,Level of Service,Length of Detection (km),Number of Lanes,Day of Week,Time of Day,Derived typical travel time,Derived lost time,Derived gained time
3MB-SB,01/06/2019 00:00,2019,6,1,0,0,10,0,79.77,160.08,0,2,40,0,0,0,0,86.58,147.48,0,26,few clouds,F,3.548137722,4,7,Late Night,127.73,32.35,0.00
3MB-SB,01/06/2019 01:00,2019,6,1,1,0,143,0.65,76.64,166.93,0,2,46,0,0,0,0,89.38,142.91,0,26,thunderstorm,F,3.561075028,4,7,Late Night,128.20,38.73,0.00
3MB-SB,01/06/2019 06:00,2019,6,1,6,0,210,0.58,69.95,183.68,0,3,3,0,0,0,0,77.41,165.61,0,25,thunderstorm,F,3.548911833,4,7,Early Morning,127.76,55.92,0.00
3MB-SB,01/06/2019 07:00,2019,6,1,7,0,344,0.9,69.1,185.23,0,3,5,0,0,0,0,73.91,172.86,0,24,thunderstorm with rain,F,3.548677556,4,7,Early Morning,127.75,57.48,0.00
3MB-SB,01/06/2019 08:00,2019,6,1,8,0,536,0.63,68.83,185.79,0,3,5,0,0,0,0,77.08,165.74,0,23,thunderstorm with light rain,F,3.5475315,4,7,Early Morning,127.71,58.08,0.00
3MB-SB,01/06/2019 09:00,2019,6,1,9,0,647,0.88,69.81,183.16,0,3,3,0,0,0,0,73.83,172.98,0,24,thunderstorm with light rain,F,3.547928,4,7,Late Morning,127.73,55.43,0.00
3MB-SB,01/06/2019 10:00,2019,6,1,10,0,674,0.54,67.76,188.86,0,3,8,0,0,0,0,72.72,175.64,0,25,thunderstorm with light rain,F,3.547354583,4,7,Late Morning,127.70,61.16,0.00
3MB-SB,01/06/2019 11:00,2019,6,1,11,0,650,0.68,76.5,167.28,0,2,47,0,0,0,0,75.65,168.81,0,25,light rain,F,3.547234167,4,7,Late Morning,127.70,39.58,0.00
3MB-SB,01/06/2019 12:00,2019,6,1,12,0,691,0.6,79.64,160.51,0,2,40,0,0,0,0,75.14,169.95,0,28,light rain,F,3.546988917,4,7,Early Afternoon,127.69,32.82,0.00
3MB-SB,01/06/2019 13:00,2019,6,1,13,0,724,0.69,77.92,164.66,0,2,44,0,0,0,0,76.43,167.07,0,27,few clouds,F,3.547793,4,7,Early Afternoon,127.72,36.94,0.00
3MB-SB,01/06/2019 14:00,2019,6,1,14,0,729,0.63,79.58,160.59,0,2,40,0,0,0,0,77.67,164.44,0,29,scattered clouds,F,3.547234167,4,7,Early Afternoon,127.70,32.89,0.00
3MB-SB,01/06/2019 15:00,2019,6,1,15,0,760,0.82,82.02,156.03,0,2,36,0,0,0,0,80.34,158.95,0,30,scattered clouds,F,3.547162306,4,7,Late Afternoon,127.70,28.33,0.00
3MB-SB,01/06/2019 16:00,2019,6,1,16,0,724,0.57,86.92,147.09,0,2,27,0,0,0,0,80.47,158.69,0,29,scattered clouds,E,3.54714875,4,7,Late Afternoon,127.70,19.39,0.00
3MB-SB,01/06/2019 17:00,2019,6,1,17,0,748,0.47,82.7,154.56,0,2,34,0,0,0,0,81.31,157.05,0,29,broken clouds,E,3.547443,4,7,Late Afternoon,127.71,26.85,0.00
3MB-SB,01/06/2019 18:00,2019,6,1,18,0,835,0.68,88.26,144.76,0,2,24,0,0,0,0,81.54,156.62,0,29,broken clouds,E,3.548106083,4,7,Evening,127.73,17.03,0.00
3MB-SB,01/06/2019 19:00,2019,6,1,19,0,709,0.51,89.23,143.57,0,2,23,0,0,0,0,80.93,157.83,0,28,scattered clouds,E,3.547328,4,7,Evening,127.70,15.87,0.00
3MB-SB,01/06/2019 20:00,2019,6,1,20,0,752,0.69,82.19,155.65,0,2,35,0,0,0,0,77.34,165.12,0,28,few clouds,E,3.5477345,4,7,Evening,127.72,27.93,0.00
3MB-SB,01/06/2019 21:00,2019,6,1,21,0,620,0.58,82.43,155.77,0,2,35,0,0,0,0,79.62,160.41,0,27,few clouds,E,3.546938222,4,7,Late Evening,127.69,28.08,0.00
3MB-SB,01/06/2019 22:00,2019,6,1,22,0,408,0.71,87.26,146.58,0,2,26,0,0,0,0,81.44,156.79,0,26,few clouds,E,3.547686722,4,7,Late Evening,127.72,18.86,0.00
3MB-SB,01/06/2019 23:00,2019,6,1,23,0,395,0.68,85.26,150.25,0,2,30,0,0,0,0,82.82,154.21,0,26,few clouds,E,3.547224083,4,7,Late Evening,127.70,22.55,0.00
3MB-SB,02/06/2019 00:00,2019,6,2,0,0,253,0.49,89.86,142.25,0,2,22,0,0,0,0,87.09,146.63,0,26,few clouds,E,3.546930667,4,1,Late Night,127.69,14.56,0.00
3MB-SB,02/06/2019 01:00,2019,6,2,1,0,99,1.03,90.77,141.24,0,2,21,0,0,0,0,89.72,142.32,0,26,few clouds,E,3.547122944,4,1,Late Night,127.70,13.54,0.00
3MB-SB,02/06/2019 02:00,2019,6,2,2,0,59,1.03,85.96,151.12,0,2,31,0,0,0,0,92.06,138.71,0,26,few clouds,E,3.550449083,4,1,Late Night,127.82,23.30,0.00
3MB-SB,02/06/2019 06:00,2019,6,2,6,0,124,0.65,85.05,150.84,0,2,30,0,0,0,0,78.69,162.43,0,25,few clouds,E,3.551971333,4,1,Early Morning,127.87,22.97,0.00
3MB-SB,02/06/2019 07:00,2019,6,2,7,0,269,0.47,75.09,178.41,0,2,58,0,0,0,0,77.46,165.08,0,25,few clouds,F,3.547827,4,1,Early Morning,127.72,50.69,0.00
3MB-SB,02/06/2019 08:00,2019,6,2,8,0,367,0.44,79.48,162.06,0,2,42,0,0,0,0,81.81,156.12,0,25,scattered clouds,F,3.547945139,4,1,Early Morning,127.73,34.33,0.00
3MB-SB,02/06/2019 09:00,2019,6,2,9,0,402,0.48,89.75,143.96,0,2,23,0,0,0,0,82.25,155.29,0,26,scattered clouds,E,3.5474625,4,1,Late Morning,127.71,16.25,0.00
3MB-SB,02/06/2019 10:00,2019,6,2,10,0,404,0.52,91.16,140.46,0,2,20,0,0,0,0,82.26,155.25,0,29,scattered clouds,E,3.547284167,4,1,Late Morning,127.70,12.76,0.00
3MB-SB,02/06/2019 11:00,2019,6,2,11,0,451,0.52,90.47,141.54,0,2,21,0,0,0,0,85.62,149.15,0,29,broken clouds,E,3.5476875,4,1,Late Morning,127.72,13.82,0.00
3MB-SB,02/06/2019 12:00,2019,6,2,12,0,404,0.64,86.97,147.11,0,2,27,0,0,0,0,85.86,148.75,0,29,broken clouds,E,3.5483,4,1,Early Afternoon,127.74,19.37,0.00
3MB-SB,02/06/2019 13:00,2019,6,2,13,0,480,0.43,89.67,142.75,0,2,22,0,0,0,0,84,152.07,0,31,broken clouds,E,3.547811556,4,1,Early Afternoon,127.72,15.03,0.00
3MB-SB,02/06/2019 14:00,2019,6,2,14,0,493,0.4,88.33,145.05,0,2,25,0,0,0,0,84.16,151.76,0,31,broken clouds,E,3.54722625,4,1,Early Afternoon,127.70,17.35,0.00
3MB-SB,02/06/2019 15:00,2019,6,2,15,0,551,0.45,87,146.8,0,2,26,0,0,0,0,82.35,155.07,0,32,broken clouds,E,3.547107361,4,1,Late Afternoon,127.70,19.10,0.00
3MB-SB,02/06/2019 16:00,2019,6,2,16,0,592,0.48,84.89,150.91,0,2,30,0,0,0,0,84.55,151.03,0,32,broken clouds,E,3.547174222,4,1,Late Afternoon,127.70,23.21,0.00
3MB-SB,02/06/2019 17:00,2019,6,2,17,0,566,0.62,90.5,141.35,0,2,21,0,0,0,0,85.28,149.74,0,31,broken clouds,E,3.548778306,4,1,Late Afternoon,127.76,13.59,0.00
3MB-SB,02/06/2019 18:00,2019,6,2,18,0,556,0.54,87.99,145.38,0,2,25,0,0,0,0,82.91,154.09,0,29,scattered clouds,E,3.548319833,4,1,Evening,127.74,17.64,0.00
3MB-SB,02/06/2019 19:00,2019,6,2,19,0,570,0.5,87.21,147.18,0,2,27,0,0,0,0,83.37,153.22,0,29,scattered clouds,E,3.547131944,4,1,Evening,127.70,19.48,0.00
