Description,Description_numeric,LengthofDetectionkm,NumberofLanes,Date,Year,Month,Day,Hour,Minutes,DayofWeek,DayofWeek_numeric,TimeofDay,TimeofDay_numeric,DetectedDevices,StayTime,Speedkmh,TotalTravelTimeseconds,TravelTimehour,TravelTimeminutes,TravelTimeseconds,DerivedFFStraveltime,DerivedLostTime,DerivedGainedTime,Temperature,Weather,Weather_numeric,LevelofService,LOS_numeric
Southbound,2,3.548137722,4,06/01/2019 00:00,2019,6,1,0,0,7,7,Late Night,1,10,0,79.77,160.08,0,2,40,127.73,32.35,0,26,few clouds,2,A,1
Southbound,2,3.561075028,4,06/01/2019 01:00,2019,6,1,1,0,7,7,Late Night,1,143,0.65,76.64,166.93,0,2,46,128.2,38.73,0,26,thunderstorm,12,B,2
Southbound,2,3.548911833,4,06/01/2019 06:00,2019,6,1,6,0,7,7,Early Morning,2,210,0.58,69.95,183.68,0,3,3,127.76,55.92,0,25,thunderstorm,12,C,3
Southbound,2,3.548677556,4,06/01/2019 07:00,2019,6,1,7,0,7,7,Early Morning,2,344,0.9,69.1,185.23,0,3,5,127.75,57.48,0,24,thunderstorm with rain,14,E,5
Southbound,2,3.5475315,4,06/01/2019 08:00,2019,6,1,8,0,7,7,Early Morning,2,536,0.63,68.83,185.79,0,3,5,127.71,58.08,0,23,thunderstorm with light rain,13,F,6
Southbound,2,3.547928,4,06/01/2019 09:00,2019,6,1,9,0,7,7,Late Morning,3,647,0.88,69.81,183.16,0,3,3,127.73,55.43,0,24,thunderstorm with light rain,13,F,6
Southbound,2,3.547354583,4,06/01/2019 10:00,2019,6,1,10,0,7,7,Late Morning,3,674,0.54,67.76,188.86,0,3,8,127.7,61.16,0,25,thunderstorm with light rain,13,F,6
Southbound,2,3.547234167,4,06/01/2019 11:00,2019,6,1,11,0,7,7,Late Morning,3,650,0.68,76.5,167.28,0,2,47,127.7,39.58,0,25,light rain,8,F,6
Southbound,2,3.546988917,4,06/01/2019 12:00,2019,6,1,12,0,7,7,Early Afternoon,4,691,0.6,79.64,160.51,0,2,40,127.69,32.82,0,28,light rain,8,F,6
Southbound,2,3.547793,4,06/01/2019 13:00,2019,6,1,13,0,7,7,Early Afternoon,4,724,0.69,77.92,164.66,0,2,44,127.72,36.94,0,27,few clouds,2,F,6
Southbound,2,3.547234167,4,06/01/2019 14:00,2019,6,1,14,0,7,7,Early Afternoon,4,729,0.63,79.58,160.59,0,2,40,127.7,32.89,0,29,scattered clouds,3,F,6
Southbound,2,3.547162306,4,06/01/2019 15:00,2019,6,1,15,0,7,7,Late Afternoon,5,760,0.82,82.02,156.03,0,2,36,127.7,28.33,0,30,scattered clouds,3,F,6
Southbound,2,3.54714875,4,06/01/2019 16:00,2019,6,1,16,0,7,7,Late Afternoon,5,724,0.57,86.92,147.09,0,2,27,127.7,19.39,0,29,scattered clouds,3,F,6
Southbound,2,3.547443,4,06/01/2019 17:00,2019,6,1,17,0,7,7,Late Afternoon,5,748,0.47,82.7,154.56,0,2,34,127.71,26.85,0,29,broken clouds,4,F,6
Southbound,2,3.548106083,4,06/01/2019 18:00,2019,6,1,18,0,7,7,Evening,6,835,0.68,88.26,144.76,0,2,24,127.73,17.03,0,29,broken clouds,4,F,6
Southbound,2,3.547328,4,06/01/2019 19:00,2019,6,1,19,0,7,7,Evening,6,709,0.51,89.23,143.57,0,2,23,127.7,15.87,0,28,scattered clouds,3,F,6
Southbound,2,3.5477345,4,06/01/2019 20:00,2019,6,1,20,0,7,7,Evening,6,752,0.69,82.19,155.65,0,2,35,127.72,27.93,0,28,few clouds,2,F,6
Southbound,2,3.546938222,4,06/01/2019 21:00,2019,6,1,21,0,7,7,Late Evening,7,620,0.58,82.43,155.77,0,2,35,127.69,28.08,0,27,few clouds,2,F,6
Southbound,2,3.547686722,4,06/01/2019 22:00,2019,6,1,22,0,7,7,Late Evening,7,408,0.71,87.26,146.58,0,2,26,127.72,18.86,0,26,few clouds,2,F,6
Southbound,2,3.547224083,4,06/01/2019 23:00,2019,6,1,23,0,7,7,Late Evening,7,395,0.68,85.26,150.25,0,2,30,127.7,22.55,0,26,few clouds,2,E,5
Southbound,2,3.546930667,4,06/02/2019 00:00,2019,6,2,0,0,1,1,Late Night,1,253,0.49,89.86,142.25,0,2,22,127.69,14.56,0,26,few clouds,2,D,4
Southbound,2,3.547122944,4,06/02/2019 01:00,2019,6,2,1,0,1,1,Late Night,1,99,1.03,90.77,141.24,0,2,21,127.7,13.54,0,26,few clouds,2,A,1
Southbound,2,3.550449083,4,06/02/2019 02:00,2019,6,2,2,0,1,1,Late Night,1,59,1.03,85.96,151.12,0,2,31,127.82,23.3,0,26,few clouds,2,A,1
Southbound,2,3.551971333,4,06/02/2019 06:00,2019,6,2,6,0,1,1,Early Morning,2,124,0.65,85.05,150.84,0,2,30,127.87,22.97,0,25,few clouds,2,B,2
Southbound,2,3.547827,4,06/02/2019 07:00,2019,6,2,7,0,1,1,Early Morning,2,269,0.47,75.09,178.41,0,2,58,127.72,50.69,0,25,few clouds,2,D,4
Southbound,2,3.547945139,4,06/02/2019 08:00,2019,6,2,8,0,1,1,Early Morning,2,367,0.44,79.48,162.06,0,2,42,127.73,34.33,0,25,scattered clouds,3,E,5
Southbound,2,3.5474625,4,06/02/2019 09:00,2019,6,2,9,0,1,1,Late Morning,3,402,0.48,89.75,143.96,0,2,23,127.71,16.25,0,26,scattered clouds,3,F,6
Southbound,2,3.547284167,4,06/02/2019 10:00,2019,6,2,10,0,1,1,Late Morning,3,404,0.52,91.16,140.46,0,2,20,127.7,12.76,0,29,scattered clouds,3,F,6
Southbound,2,3.5476875,4,06/02/2019 11:00,2019,6,2,11,0,1,1,Late Morning,3,451,0.52,90.47,141.54,0,2,21,127.72,13.82,0,29,broken clouds,4,F,6
Southbound,2,3.5483,4,06/02/2019 12:00,2019,6,2,12,0,1,1,Early Afternoon,4,404,0.64,86.97,147.11,0,2,27,127.74,19.37,0,29,broken clouds,4,F,6
Southbound,2,3.547811556,4,06/02/2019 13:00,2019,6,2,13,0,1,1,Early Afternoon,4,480,0.43,89.67,142.75,0,2,22,127.72,15.03,0,31,broken clouds,4,F,6
Southbound,2,3.54722625,4,06/02/2019 14:00,2019,6,2,14,0,1,1,Early Afternoon,4,493,0.4,88.33,145.05,0,2,25,127.7,17.35,0,31,broken clouds,4,F,6
Southbound,2,3.547107361,4,06/02/2019 15:00,2019,6,2,15,0,1,1,Late Afternoon,5,551,0.45,87,146.8,0,2,26,127.7,19.1,0,32,broken clouds,4,F,6
Southbound,2,3.547174222,4,06/02/2019 16:00,2019,6,2,16,0,1,1,Late Afternoon,5,592,0.48,84.89,150.91,0,2,30,127.7,23.21,0,32,broken clouds,4,F,6
Southbound,2,3.548778306,4,06/02/2019 17:00,2019,6,2,17,0,1,1,Late Afternoon,5,566,0.62,90.5,141.35,0,2,21,127.76,13.59,0,31,broken clouds,4,F,6
Southbound,2,3.548319833,4,06/02/2019 18:00,2019,6,2,18,0,1,1,Evening,6,556,0.54,87.99,145.38,0,2,25,127.74,17.64,0,29,scattered clouds,3,F,6
Southbound,2,3.547131944,4,06/02/2019 19:00,2019,6,2,19,0,1,1,Evening,6,570,0.5,87.21,147.18,0,2,27,127.7,19.48,0,29,scattered clouds,3,F,6
Southbound,2,3.5472785,4,06/02/2019 20:00,2019,6,2,20,0,1,1,Evening,6,428,0.86,77.96,164.15,0,2,44,127.7,36.45,0,28,scattered clouds,3,F,6
Southbound,2,3.547411722,4,06/02/2019 21:00,2019,6,2,21,0,1,1,Late Evening,7,419,0.33,76.83,166.76,0,2,46,127.71,39.05,0,28,scattered clouds,3,F,6
Southbound,2,3.546890667,4,06/02/2019 22:00,2019,6,2,22,0,1,1,Late Evening,7,369,0.66,75.49,170.38,0,2,50,127.69,42.69,0,27,few clouds,2,E,5
Southbound,2,3.548266417,4,06/02/2019 23:00,2019,6,2,23,0,1,1,Late Evening,7,253,0.37,79.65,160.43,0,2,40,127.74,32.69,0,27,few clouds,2,D,4
Southbound,2,3.547785222,4,06/03/2019 00:00,2019,6,3,0,0,2,2,Late Night,1,126,0.41,82.44,155.5,0,2,35,127.72,27.78,0,27,few clouds,2,B,2
Southbound,2,3.659267778,4,06/03/2019 05:00,2019,6,3,5,0,2,2,Early Morning,2,125,0.64,91.19,140.6,0,2,20,131.73,8.87,0,25,few clouds,2,B,2
Southbound,2,3.723938944,4,06/03/2019 06:00,2019,6,3,6,0,2,2,Early Morning,2,824,1.41,64.2,205.09,0,3,25,134.06,71.03,0,26,overcast clouds,5,F,6
Southbound,2,3.567592,4,06/03/2019 07:00,2019,6,3,7,0,2,2,Early Morning,2,739,11.17,16.66,1001.03,0,16,41,128.43,872.6,0,26,overcast clouds,5,F,6
Southbound,2,3.78932925,4,06/03/2019 08:00,2019,6,3,8,0,2,2,Early Morning,2,724,12.77,7.97,1632.21,0,27,12,136.42,1495.79,0,26,overcast clouds,5,F,6
Southbound,2,3.5490625,4,06/03/2019 09:00,2019,6,3,9,0,2,2,Late Morning,3,806,5.24,43.04,467.57,0,7,47,127.77,339.8,0,31,overcast clouds,5,F,6
Southbound,2,3.547029694,4,06/03/2019 10:00,2019,6,3,10,0,2,2,Late Morning,3,677,0.61,77.89,164.6,0,2,44,127.69,36.91,0,31,overcast clouds,5,F,6
Southbound,2,3.547171694,4,06/03/2019 11:00,2019,6,3,11,0,2,2,Late Morning,3,783,0.57,77.36,165.55,0,2,45,127.7,37.85,0,31,overcast clouds,5,F,6
Southbound,2,3.548959056,4,06/03/2019 12:00,2019,6,3,12,0,2,2,Early Afternoon,4,859,0.59,75.34,169.83,0,2,49,127.76,42.07,0,33,overcast clouds,5,F,6
Southbound,2,3.547465,4,06/03/2019 13:00,2019,6,3,13,0,2,2,Early Afternoon,4,745,0.65,73.7,174.14,0,2,54,127.71,46.43,0,32,scattered clouds,3,F,6
Southbound,2,3.547488056,4,06/03/2019 14:00,2019,6,3,14,0,2,2,Early Afternoon,4,842,0.69,76.11,168.67,0,2,48,127.71,40.96,0,32,scattered clouds,3,F,6
Southbound,2,3.54782625,4,06/03/2019 15:00,2019,6,3,15,0,2,2,Late Afternoon,5,824,0.62,74.56,171.68,0,2,51,127.72,43.96,0,32,scattered clouds,3,F,6
Southbound,2,3.547255833,4,06/03/2019 16:00,2019,6,3,16,0,2,2,Late Afternoon,5,767,0.6,82.87,154.38,0,2,34,127.7,26.68,0,31,few clouds,2,F,6
Southbound,2,3.547333333,4,06/03/2019 17:00,2019,6,3,17,0,2,2,Late Afternoon,5,889,0.67,78.42,164.36,0,2,44,127.7,36.66,0,31,few clouds,2,F,6
Southbound,2,3.548213278,4,06/03/2019 18:00,2019,6,3,18,0,2,2,Evening,6,926,0.72,71.58,179.68,0,2,59,127.74,51.94,0,31,few clouds,2,F,6
Southbound,2,3.547362667,4,06/03/2019 19:00,2019,6,3,19,0,2,2,Evening,6,837,0.82,77.35,165.63,0,2,45,127.71,37.92,0,30,few clouds,2,F,6
Southbound,2,3.548197778,4,06/03/2019 20:00,2019,6,3,20,0,2,2,Evening,6,797,0.97,84.03,152.07,0,2,32,127.74,24.33,0,27,few clouds,2,F,6
Southbound,2,3.5475685,4,06/03/2019 21:00,2019,6,3,21,0,2,2,Late Evening,7,849,0.92,85.18,150.11,0,2,30,127.71,22.4,0,27,few clouds,2,F,6
Southbound,2,3.548396833,4,06/03/2019 22:00,2019,6,3,22,0,2,2,Late Evening,7,748,8.5,85.35,149.68,0,2,29,127.74,21.94,0,27,few clouds,2,F,6
Southbound,2,3.547435889,4,06/03/2019 23:00,2019,6,3,23,0,2,2,Late Evening,7,579,14.11,70.8,186.75,0,3,6,127.71,59.04,0,27,few clouds,2,F,6
Southbound,2,3.547458444,4,06/04/2019 00:00,2019,6,4,0,0,3,3,Late Night,1,258,1.45,75.25,173.36,0,2,53,127.71,45.65,0,27,few clouds,2,D,4
